名称,总阅读数,总鲜花数,总催更票数,总打赏(单位万),总月票数,总分享次数,评分,好评人数,小说分类
四合院：从大茂邻居开始,715343,109320,23,30.2万,48,0,10,5040人,同人小说
授徒万倍返还：为师从来不藏私,1959190,342780,216,2.3万,146,1,10,34649人,玄幻奇幻
我要做昏君！败坏国运我能成仙！,1655626,165214,74,21.8万,138,0,10,15720人,军事历史
大明：我皇孙身份被朱元璋曝光了,20327423,6585580,14441,58.4万,261,8,10,280745人,军事历史
大秦：我杀敌就可以升级成神,1959738,724690,543,52.6万,862,6,10,39636人,玄幻奇幻
大秦：从弃婴到千古一帝,3803056,965302,485,88.3万,409,0,10,50133人,军事历史
四合院：感谢不嫁之恩,1249402,248892,18,8064,219,0,10,19176人,同人小说
抗战：跟着李云龙混成将军,1240037,274563,185,8.5万,200,1,10,23051人,军事历史
三国：金榜倒数，开局被刘备赶走,1852953,181699,83,1.1万,141,0,10,15978人,军事历史
体内弹片误触警报，一身伤疤曝光,2358775,146487,223,5376,34,1,10,9021人,军事历史
大秦：公子冥王，开局镇杀荆轲,1195120,261219,68,1.3万,289,0,10,18415人,军事历史
快苟到仙王的我，被诸天视频曝光,1856252,362081,159,18.1万,286,1,10,28023人,玄幻奇幻
妖妖灵让我拍宣传片，我拍无间道,4099111,591499,295,5万,84,0,10,42782人,都市言情
权倾朝野，皇子身份假,3304634,470948,242,52.8万,201,0,10,50051人,玄幻奇幻
直播：我和周周试婚，科研家曝光,1261512,206296,30,111.5万,122,0,10,10124人,都市言情
殿下，先别打罗马，大秦快亡了！,1047725,244265,19,36.3万,35,0,10,5259人,军事历史
四合院：谁惹我，坑哭谁,3453123,1399844,407,75万,101,0,10,74336人,都市言情
疯了吧！我为什么会有两个孩子！,1470281,234036,44,45.5万,70,0,10,11515人,都市言情
全球末日，我进化成了行星级巨兽,3518938,1956915,373,40.1万,459,4,10,164688人,都市言情
长白山宣传片，你拍盗笔是什么鬼？,910908,98687,115,13.7万,74,0,10,8009人,都市言情
全球杀戮：开局觉醒sss级天赋,5053419,1826309,1331,67.3万,491,2,10,131032人,玄幻奇幻
全民转职：我选择了无职散人,3143161,1342919,242,16.3万,507,1,10,90458人,都市言情
大明：刚要造反，被封一字并肩王,2650670,151102,50,320.3万,58,0,10,10948人,军事历史
让你们攻打梁山，全投降了？,1058419,222438,100,32.8万,93,0,10,14849人,军事历史
四合院：传承天师，开局坑惨贾家,670309,82369,7,500,46,0,10,4702人,同人小说
睁开眼，同桌宝藏女孩在眼前！,1665041,794939,603,100.3万,335,7,10,32271人,都市言情
全民天师：我的金光咒能无限升级,1424866,336410,89,1.6万,86,0,10,21002人,恐怖灵异
我是反派啊！你们找我谈什么恋爱？,1794556,215919,345,3.1万,59,0,10,18281人,都市言情
十绝阵被破，申公豹请我出山,1897801,204202,93,3288,73,1,10,18047人,玄幻奇幻
人人一颗星球：开局打造科技文明,2575983,703383,647,7.9万,493,2,10,49806人,玄幻奇幻
四合院：从大茂邻居开始,715343,109320,23,30.2万,48,0,10,5040人,同人小说
授徒万倍返还：为师从来不藏私,1959190,342780,216,2.3万,146,1,10,34649人,玄幻奇幻
我要做昏君！败坏国运我能成仙！,1655626,165214,74,21.8万,138,0,10,15720人,军事历史
大明：我皇孙身份被朱元璋曝光了,20327423,6585580,14441,58.4万,261,8,10,280745人,军事历史
大秦：我杀敌就可以升级成神,1959738,724690,543,52.6万,862,6,10,39636人,玄幻奇幻
大秦：从弃婴到千古一帝,3803056,965302,485,88.3万,409,0,10,50133人,军事历史
四合院：感谢不嫁之恩,1248536,248866,18,8064,219,0,10,19136人,同人小说
抗战：跟着李云龙混成将军,1240037,274563,185,8.5万,200,1,10,23051人,军事历史
三国：金榜倒数，开局被刘备赶走,1852953,181699,83,1.1万,141,0,10,15978人,军事历史
体内弹片误触警报，一身伤疤曝光,2358775,146487,223,5376,34,1,10,9021人,军事历史
大秦：公子冥王，开局镇杀荆轲,1195120,261219,68,1.3万,289,0,10,18415人,军事历史
快苟到仙王的我，被诸天视频曝光,1856252,362081,159,18.1万,286,1,10,28023人,玄幻奇幻
妖妖灵让我拍宣传片，我拍无间道,4099111,591499,295,5万,84,0,10,42782人,都市言情
权倾朝野，皇子身份假,3304634,470948,242,52.8万,201,0,10,50051人,玄幻奇幻
直播：我和周周试婚，科研家曝光,1261512,206296,30,111.5万,122,0,10,10124人,都市言情
殿下，先别打罗马，大秦快亡了！,1047725,244265,19,36.3万,35,0,10,5259人,军事历史
四合院：谁惹我，坑哭谁,3453123,1399844,407,75万,101,0,10,74336人,都市言情
疯了吧！我为什么会有两个孩子！,1470281,234036,44,45.5万,70,0,10,11515人,都市言情
全球末日，我进化成了行星级巨兽,3518938,1956915,373,40.1万,459,4,10,164688人,都市言情
长白山宣传片，你拍盗笔是什么鬼？,910908,98687,115,13.7万,74,0,10,8009人,都市言情
全球杀戮：开局觉醒sss级天赋,5053419,1826309,1331,67.3万,491,2,10,131032人,玄幻奇幻
全民转职：我选择了无职散人,3143161,1342919,242,16.3万,507,1,10,90458人,都市言情
大明：刚要造反，被封一字并肩王,2650670,151102,50,320.3万,58,0,10,10948人,军事历史
让你们攻打梁山，全投降了？,1058419,222438,100,32.8万,93,0,10,14849人,军事历史
四合院：传承天师，开局坑惨贾家,670309,82369,7,500,46,0,10,4702人,同人小说
睁开眼，同桌宝藏女孩在眼前！,1665907,795439,603,100.3万,339,7,10,32389人,都市言情
全民天师：我的金光咒能无限升级,1424866,336410,89,1.6万,86,0,10,21002人,恐怖灵异
我是反派啊！你们找我谈什么恋爱？,1794556,215919,345,3.1万,59,0,10,18281人,都市言情
十绝阵被破，申公豹请我出山,1898741,205110,93,3288,73,1,10,18147人,玄幻奇幻
人人一颗星球：开局打造科技文明,2575983,703345,647,7.9万,493,2,10,49787人,玄幻奇幻
四合院：从大茂邻居开始,715343,109320,23,30.2万,48,0,10,5040人,同人小说
授徒万倍返还：为师从来不藏私,1959190,342780,216,2.3万,146,1,10,34649人,玄幻奇幻
我要做昏君！败坏国运我能成仙！,1655626,165214,74,21.8万,138,0,10,15720人,军事历史
大明：我皇孙身份被朱元璋曝光了,20327423,6585580,14441,58.4万,261,8,10,280745人,军事历史
大秦：我杀敌就可以升级成神,1959738,724690,543,52.6万,862,6,10,39636人,玄幻奇幻
大秦：从弃婴到千古一帝,3803922,966070,485,88.3万,410,0,10,50189人,军事历史
四合院：感谢不嫁之恩,1249402,248892,18,8064,219,0,10,19176人,同人小说
抗战：跟着李云龙混成将军,1239171,274442,185,8.5万,198,1,10,23051人,军事历史
三国：金榜倒数，开局被刘备赶走,1852953,181699,83,1.1万,141,0,10,15978人,军事历史
体内弹片误触警报，一身伤疤曝光,2358775,146487,223,5376,34,1,10,9021人,军事历史
大秦：公子冥王，开局镇杀荆轲,1195120,261219,68,1.3万,289,0,10,18415人,军事历史
快苟到仙王的我，被诸天视频曝光,1856252,362081,159,18.1万,286,1,10,28023人,玄幻奇幻
妖妖灵让我拍宣传片，我拍无间道,4099111,591499,295,5万,84,0,10,42782人,都市言情
权倾朝野，皇子身份假,3304634,470948,242,52.8万,201,0,10,50051人,玄幻奇幻
直播：我和周周试婚，科研家曝光,1261512,206296,30,111.5万,122,0,10,10124人,都市言情
殿下，先别打罗马，大秦快亡了！,1046859,244265,19,36.3万,35,0,10,5259人,军事历史
四合院：谁惹我，坑哭谁,3453123,1399844,407,75万,101,0,10,74336人,都市言情
疯了吧！我为什么会有两个孩子！,1470281,234036,44,45.5万,70,0,10,11515人,都市言情
全球末日，我进化成了行星级巨兽,3518938,1956915,373,40.1万,459,4,10,164688人,都市言情
长白山宣传片，你拍盗笔是什么鬼？,910908,98687,115,13.7万,74,0,10,8009人,都市言情
全球杀戮：开局觉醒sss级天赋,5052553,1824626,1331,67.3万,480,2,10,130748人,玄幻奇幻
全民转职：我选择了无职散人,3143161,1342919,242,16.3万,507,1,10,90458人,都市言情
大明：刚要造反，被封一字并肩王,2650670,151102,50,320.3万,58,0,10,10948人,军事历史
让你们攻打梁山，全投降了？,1058419,222438,100,32.8万,93,0,10,14849人,军事历史
四合院：传承天师，开局坑惨贾家,670309,82369,7,500,46,0,10,4702人,同人小说
睁开眼，同桌宝藏女孩在眼前！,1665041,794939,603,100.3万,335,7,10,32271人,都市言情
全民天师：我的金光咒能无限升级,1424866,336410,89,1.6万,86,0,10,21002人,恐怖灵异
我是反派啊！你们找我谈什么恋爱？,1794556,215919,345,3.1万,59,0,10,18281人,都市言情
十绝阵被破，申公豹请我出山,1898741,205110,93,3288,73,1,10,18147人,玄幻奇幻
人人一颗星球：开局打造科技文明,2575983,703383,647,7.9万,493,2,10,49806人,玄幻奇幻
四合院：从大茂邻居开始,715343,109320,23,30.2万,48,0,10,5040人,同人小说
授徒万倍返还：为师从来不藏私,1959190,342780,216,2.3万,146,1,10,34649人,玄幻奇幻
我要做昏君！败坏国运我能成仙！,1656492,165285,74,21.8万,138,0,10,15757人,军事历史
大明：我皇孙身份被朱元璋曝光了,20327423,6585580,14441,58.4万,261,8,10,280745人,军事历史
大秦：我杀敌就可以升级成神,1959738,724690,543,52.6万,862,6,10,39636人,玄幻奇幻
大秦：从弃婴到千古一帝,3803056,965302,485,88.3万,409,0,10,50133人,军事历史
四合院：感谢不嫁之恩,1248536,248866,18,8064,219,0,10,19136人,同人小说
抗战：跟着李云龙混成将军,1240037,274563,185,8.5万,200,1,10,23051人,军事历史
三国：金榜倒数，开局被刘备赶走,1852953,181699,83,1.1万,141,0,10,15978人,军事历史
体内弹片误触警报，一身伤疤曝光,2358775,146487,223,5376,34,1,10,9021人,军事历史
大秦：公子冥王，开局镇杀荆轲,1195986,261249,68,1.3万,289,0,10,18426人,军事历史
快苟到仙王的我，被诸天视频曝光,1856252,362081,159,18.1万,286,1,10,28023人,玄幻奇幻
妖妖灵让我拍宣传片，我拍无间道,4098245,591499,295,5万,84,0,10,42782人,都市言情
权倾朝野，皇子身份假,3304634,470948,242,52.8万,201,0,10,50051人,玄幻奇幻
直播：我和周周试婚，科研家曝光,1261512,206296,30,111.5万,122,0,10,10124人,都市言情
殿下，先别打罗马，大秦快亡了！,1047725,244265,19,36.3万,35,0,10,5259人,军事历史
四合院：谁惹我，坑哭谁,3453123,1399844,407,75万,101,0,10,74336人,都市言情
疯了吧！我为什么会有两个孩子！,1471147,234046,44,45.5万,70,0,10,11515人,都市言情
全球末日，我进化成了行星级巨兽,3518938,1956915,373,40.1万,459,4,10,164688人,都市言情
长白山宣传片，你拍盗笔是什么鬼？,910908,98687,115,13.7万,74,0,10,8009人,都市言情
全球杀戮：开局觉醒sss级天赋,5053419,1826309,1331,67.3万,491,2,10,131032人,玄幻奇幻
全民转职：我选择了无职散人,3143161,1342919,242,16.3万,507,1,10,90458人,都市言情
大明：刚要造反，被封一字并肩王,2650670,151102,50,320.3万,58,0,10,10948人,军事历史
让你们攻打梁山，全投降了？,1058419,222438,100,32.8万,93,0,10,14849人,军事历史
四合院：传承天师，开局坑惨贾家,670309,82369,7,500,46,0,10,4702人,同人小说
睁开眼，同桌宝藏女孩在眼前！,1665907,795439,603,100.3万,339,7,10,32389人,都市言情
全民天师：我的金光咒能无限升级,1424866,336410,89,1.6万,86,0,10,21002人,恐怖灵异
我是反派啊！你们找我谈什么恋爱？,1794556,215919,345,3.1万,59,0,10,18281人,都市言情
十绝阵被破，申公豹请我出山,1898741,205110,93,3288,73,1,10,18147人,玄幻奇幻
人人一颗星球：开局打造科技文明,2575983,703383,647,7.9万,493,2,10,49806人,玄幻奇幻
四合院：从大茂邻居开始,715343,109320,23,30.2万,48,0,10,5040人,同人小说
授徒万倍返还：为师从来不藏私,1959190,342780,216,2.3万,146,1,10,34649人,玄幻奇幻
我要做昏君！败坏国运我能成仙！,1655626,165214,74,21.8万,138,0,10,15720人,军事历史
大明：我皇孙身份被朱元璋曝光了,20327423,6585580,14441,58.4万,261,8,10,280745人,军事历史
大秦：我杀敌就可以升级成神,1959738,724690,543,52.6万,862,6,10,39636人,玄幻奇幻
大秦：从弃婴到千古一帝,3803056,965302,485,88.3万,409,0,10,50133人,军事历史
四合院：感谢不嫁之恩,1248536,248866,18,8064,219,0,10,19136人,同人小说
抗战：跟着李云龙混成将军,1240037,274563,185,8.5万,200,1,10,23051人,军事历史
三国：金榜倒数，开局被刘备赶走,1852953,181699,83,1.1万,141,0,10,15978人,军事历史
体内弹片误触警报，一身伤疤曝光,2358775,146487,223,5376,34,1,10,9021人,军事历史
大秦：公子冥王，开局镇杀荆轲,1195120,261219,68,1.3万,289,0,10,18415人,军事历史
快苟到仙王的我，被诸天视频曝光,1856252,362081,159,18.1万,286,1,10,28023人,玄幻奇幻
妖妖灵让我拍宣传片，我拍无间道,4099111,591499,295,5万,84,0,10,42782人,都市言情
权倾朝野，皇子身份假,3304634,470948,242,52.8万,201,0,10,50051人,玄幻奇幻
直播：我和周周试婚，科研家曝光,1261512,206296,30,111.5万,122,0,10,10124人,都市言情
殿下，先别打罗马，大秦快亡了！,1046859,244265,19,36.3万,35,0,10,5259人,军事历史
四合院：谁惹我，坑哭谁,3453123,1399844,407,75万,101,0,10,74336人,都市言情
疯了吧！我为什么会有两个孩子！,1470281,234036,44,45.5万,70,0,10,11515人,都市言情
全球末日，我进化成了行星级巨兽,3518938,1956915,373,40.1万,459,4,10,164688人,都市言情
长白山宣传片，你拍盗笔是什么鬼？,910908,98687,115,13.7万,74,0,10,8009人,都市言情
全球杀戮：开局觉醒sss级天赋,5053419,1826309,1331,67.3万,491,2,10,131032人,玄幻奇幻
全民转职：我选择了无职散人,3143161,1342919,242,16.3万,507,1,10,90458人,都市言情
大明：刚要造反，被封一字并肩王,2650670,151102,50,320.3万,58,0,10,10948人,军事历史
让你们攻打梁山，全投降了？,1058419,222438,100,32.8万,93,0,10,14849人,军事历史
四合院：传承天师，开局坑惨贾家,670309,82369,7,500,46,0,10,4702人,同人小说
睁开眼，同桌宝藏女孩在眼前！,1665041,794939,603,100.3万,335,7,10,32271人,都市言情
全民天师：我的金光咒能无限升级,1424866,336410,89,1.6万,86,0,10,21002人,恐怖灵异
我是反派啊！你们找我谈什么恋爱？,1794556,215919,345,3.1万,59,0,10,18281人,都市言情
十绝阵被破，申公豹请我出山,1898741,205110,93,3288,73,1,10,18147人,玄幻奇幻
人人一颗星球：开局打造科技文明,2575983,703383,647,7.9万,493,2,10,49806人,玄幻奇幻
四合院：从大茂邻居开始,715343,109320,23,30.2万,48,0,10,5040人,同人小说
授徒万倍返还：为师从来不藏私,1959190,342780,216,2.3万,146,1,10,34649人,玄幻奇幻
我要做昏君！败坏国运我能成仙！,1655626,165214,74,21.8万,138,0,10,15720人,军事历史
大明：我皇孙身份被朱元璋曝光了,20327423,6585580,14441,58.4万,261,8,10,280745人,军事历史
大秦：我杀敌就可以升级成神,1959738,724690,543,52.6万,862,6,10,39636人,玄幻奇幻
大秦：从弃婴到千古一帝,3803056,965302,485,88.3万,409,0,10,50133人,军事历史
四合院：感谢不嫁之恩,1248536,248866,18,8064,219,0,10,19136人,同人小说
抗战：跟着李云龙混成将军,1240037,274563,185,8.5万,200,1,10,23051人,军事历史
三国：金榜倒数，开局被刘备赶走,1852953,181699,83,1.1万,141,0,10,15978人,军事历史
体内弹片误触警报，一身伤疤曝光,2358775,146487,223,5376,34,1,10,9021人,军事历史
大秦：公子冥王，开局镇杀荆轲,1195120,261219,68,1.3万,289,0,10,18415人,军事历史
快苟到仙王的我，被诸天视频曝光,1856252,362081,159,18.1万,286,1,10,28023人,玄幻奇幻
妖妖灵让我拍宣传片，我拍无间道,4099111,591499,295,5万,84,0,10,42782人,都市言情
权倾朝野，皇子身份假,3304634,470948,242,52.8万,201,0,10,50051人,玄幻奇幻
直播：我和周周试婚，科研家曝光,1261512,206296,30,111.5万,122,0,10,10124人,都市言情
殿下，先别打罗马，大秦快亡了！,1047725,244265,19,36.3万,35,0,10,5259人,军事历史
四合院：谁惹我，坑哭谁,3453123,1399844,407,75万,101,0,10,74336人,都市言情
疯了吧！我为什么会有两个孩子！,1470281,234036,44,45.5万,70,0,10,11515人,都市言情
全球末日，我进化成了行星级巨兽,3518938,1956915,373,40.1万,459,4,10,164688人,都市言情
长白山宣传片，你拍盗笔是什么鬼？,910908,98687,115,13.7万,74,0,10,8009人,都市言情
全球杀戮：开局觉醒sss级天赋,5052553,1824626,1331,67.3万,480,2,10,130748人,玄幻奇幻
全民转职：我选择了无职散人,3143161,1342919,242,16.3万,507,1,10,90458人,都市言情
大明：刚要造反，被封一字并肩王,2650670,151102,50,320.3万,58,0,10,10948人,军事历史
让你们攻打梁山，全投降了？,1058419,222438,100,32.8万,93,0,10,14849人,军事历史
四合院：传承天师，开局坑惨贾家,670309,82369,7,500,46,0,10,4702人,同人小说
睁开眼，同桌宝藏女孩在眼前！,1665907,795439,603,100.3万,339,7,10,32389人,都市言情
全民天师：我的金光咒能无限升级,1424866,336410,89,1.6万,86,0,10,21002人,恐怖灵异
我是反派啊！你们找我谈什么恋爱？,1794556,215919,345,3.1万,59,0,10,18281人,都市言情
十绝阵被破，申公豹请我出山,1898741,205110,93,3288,73,1,10,18147人,玄幻奇幻
人人一颗星球：开局打造科技文明,2575983,703383,647,7.9万,493,2,10,49806人,玄幻奇幻
四合院：从大茂邻居开始,715343,109320,23,30.2万,48,0,10,5040人,同人小说
授徒万倍返还：为师从来不藏私,1959190,342780,216,2.3万,146,1,10,34649人,玄幻奇幻
我要做昏君！败坏国运我能成仙！,1655626,165214,74,21.8万,138,0,10,15720人,军事历史
大明：我皇孙身份被朱元璋曝光了,20327423,6585580,14441,58.4万,261,8,10,280745人,军事历史
大秦：我杀敌就可以升级成神,1959738,724690,543,52.6万,862,6,10,39636人,玄幻奇幻
大秦：从弃婴到千古一帝,3803922,966070,485,88.3万,410,0,10,50189人,军事历史
四合院：感谢不嫁之恩,1248536,248866,18,8064,219,0,10,19136人,同人小说
抗战：跟着李云龙混成将军,1239171,274442,185,8.5万,198,1,10,23051人,军事历史
三国：金榜倒数，开局被刘备赶走,1852953,181699,83,1.1万,141,0,10,15978人,军事历史
体内弹片误触警报，一身伤疤曝光,2358775,146487,223,5376,34,1,10,9021人,军事历史
大秦：公子冥王，开局镇杀荆轲,1195120,261219,68,1.3万,289,0,10,18415人,军事历史
快苟到仙王的我，被诸天视频曝光,1856252,362081,159,18.1万,286,1,10,28023人,玄幻奇幻
妖妖灵让我拍宣传片，我拍无间道,4098245,591499,295,5万,84,0,10,42782人,都市言情
权倾朝野，皇子身份假,3304634,470948,242,52.8万,201,0,10,50051人,玄幻奇幻
直播：我和周周试婚，科研家曝光,1261512,206296,30,111.5万,122,0,10,10124人,都市言情
殿下，先别打罗马，大秦快亡了！,1047725,244265,19,36.3万,35,0,10,5259人,军事历史
四合院：谁惹我，坑哭谁,3453123,1399844,407,75万,101,0,10,74336人,都市言情
疯了吧！我为什么会有两个孩子！,1470281,234036,44,45.5万,70,0,10,11515人,都市言情
全球末日，我进化成了行星级巨兽,3518938,1956915,373,40.1万,459,4,10,164688人,都市言情
长白山宣传片，你拍盗笔是什么鬼？,910908,98687,115,13.7万,74,0,10,8009人,都市言情
全球杀戮：开局觉醒sss级天赋,5053419,1826309,1331,67.3万,491,2,10,131032人,玄幻奇幻
全民转职：我选择了无职散人,3143161,1342919,242,16.3万,507,1,10,90458人,都市言情
大明：刚要造反，被封一字并肩王,2650670,151102,50,320.3万,58,0,10,10948人,军事历史
让你们攻打梁山，全投降了？,1058419,222438,100,32.8万,93,0,10,14849人,军事历史
四合院：传承天师，开局坑惨贾家,670309,82369,7,500,46,0,10,4702人,同人小说
睁开眼，同桌宝藏女孩在眼前！,1665041,794939,603,100.3万,335,7,10,32271人,都市言情
全民天师：我的金光咒能无限升级,1424866,336410,89,1.6万,86,0,10,21002人,恐怖灵异
我是反派啊！你们找我谈什么恋爱？,1794556,215919,345,3.1万,59,0,10,18281人,都市言情
十绝阵被破，申公豹请我出山,1898741,205110,93,3288,73,1,10,18147人,玄幻奇幻
人人一颗星球：开局打造科技文明,2575983,703383,647,7.9万,493,2,10,49806人,玄幻奇幻
四合院：从大茂邻居开始,715343,109320,23,30.2万,48,0,10,5040人,同人小说
授徒万倍返还：为师从来不藏私,1959190,342780,216,2.3万,146,1,10,34649人,玄幻奇幻
我要做昏君！败坏国运我能成仙！,1655626,165214,74,21.8万,138,0,10,15720人,军事历史
大明：我皇孙身份被朱元璋曝光了,20327423,6585580,14441,58.4万,261,8,10,280745人,军事历史
大秦：我杀敌就可以升级成神,1959738,724690,543,52.6万,862,6,10,39636人,玄幻奇幻
大秦：从弃婴到千古一帝,3803056,965302,485,88.3万,409,0,10,50133人,军事历史
四合院：感谢不嫁之恩,1248536,248866,18,8064,219,0,10,19136人,同人小说
抗战：跟着李云龙混成将军,1239171,274442,185,8.5万,198,1,10,23051人,军事历史
三国：金榜倒数，开局被刘备赶走,1852953,181699,83,1.1万,141,0,10,15978人,军事历史
体内弹片误触警报，一身伤疤曝光,2358775,146487,223,5376,34,1,10,9021人,军事历史
大秦：公子冥王，开局镇杀荆轲,1195986,261249,68,1.3万,289,0,10,18426人,军事历史
快苟到仙王的我，被诸天视频曝光,1856252,362081,159,18.1万,286,1,10,28023人,玄幻奇幻
妖妖灵让我拍宣传片，我拍无间道,4099111,591499,295,5万,84,0,10,42782人,都市言情
权倾朝野，皇子身份假,3304634,470948,242,52.8万,201,0,10,50051人,玄幻奇幻
直播：我和周周试婚，科研家曝光,1261512,206296,30,111.5万,122,0,10,10124人,都市言情
殿下，先别打罗马，大秦快亡了！,1047725,244265,19,36.3万,35,0,10,5259人,军事历史
四合院：谁惹我，坑哭谁,3453123,1399844,407,75万,101,0,10,74336人,都市言情
疯了吧！我为什么会有两个孩子！,1470281,234036,44,45.5万,70,0,10,11515人,都市言情
全球末日，我进化成了行星级巨兽,3518938,1956915,373,40.1万,459,4,10,164688人,都市言情
长白山宣传片，你拍盗笔是什么鬼？,910908,98687,115,13.7万,74,0,10,8009人,都市言情
全球杀戮：开局觉醒sss级天赋,5052553,1824626,1331,67.3万,480,2,10,130748人,玄幻奇幻
全民转职：我选择了无职散人,3143161,1342919,242,16.3万,507,1,10,90458人,都市言情
大明：刚要造反，被封一字并肩王,2650670,151102,50,320.3万,58,0,10,10948人,军事历史
让你们攻打梁山，全投降了？,1058419,222438,100,32.8万,93,0,10,14849人,军事历史
四合院：传承天师，开局坑惨贾家,670309,82369,7,500,46,0,10,4702人,同人小说
睁开眼，同桌宝藏女孩在眼前！,1665907,795439,603,100.3万,339,7,10,32389人,都市言情
全民天师：我的金光咒能无限升级,1424866,336410,89,1.6万,86,0,10,21002人,恐怖灵异
我是反派啊！你们找我谈什么恋爱？,1794556,215919,345,3.1万,59,0,10,18281人,都市言情
十绝阵被破，申公豹请我出山,1898741,205110,93,3288,73,1,10,18147人,玄幻奇幻
人人一颗星球：开局打造科技文明,2575983,703345,647,7.9万,493,2,10,49787人,玄幻奇幻
四合院：从大茂邻居开始,715343,109320,23,30.2万,48,0,10,5040人,同人小说
授徒万倍返还：为师从来不藏私,1959190,342780,216,2.3万,146,1,10,34649人,玄幻奇幻
我要做昏君！败坏国运我能成仙！,1655626,165214,74,21.8万,138,0,10,15720人,军事历史
大明：我皇孙身份被朱元璋曝光了,20327423,6585580,14441,58.4万,261,8,10,280745人,军事历史
大秦：我杀敌就可以升级成神,1959738,724690,543,52.6万,862,6,10,39636人,玄幻奇幻
大秦：从弃婴到千古一帝,3803056,965302,485,88.3万,409,0,10,50133人,军事历史
四合院：感谢不嫁之恩,1248536,248866,18,8064,219,0,10,19136人,同人小说
抗战：跟着李云龙混成将军,1240037,274563,185,8.5万,200,1,10,23051人,军事历史
三国：金榜倒数，开局被刘备赶走,1852953,181699,83,1.1万,141,0,10,15978人,军事历史
体内弹片误触警报，一身伤疤曝光,2358775,146487,223,5376,34,1,10,9021人,军事历史
大秦：公子冥王，开局镇杀荆轲,1195120,261219,68,1.3万,289,0,10,18415人,军事历史
快苟到仙王的我，被诸天视频曝光,1856252,362081,159,18.1万,286,1,10,28023人,玄幻奇幻
妖妖灵让我拍宣传片，我拍无间道,4099111,591499,295,5万,84,0,10,42782人,都市言情
权倾朝野，皇子身份假,3304634,470948,242,52.8万,201,0,10,50051人,玄幻奇幻
直播：我和周周试婚，科研家曝光,1262378,206330,30,111.5万,122,0,10,10127人,都市言情
殿下，先别打罗马，大秦快亡了！,1047725,244265,19,36.3万,35,0,10,5259人,军事历史
四合院：谁惹我，坑哭谁,3453123,1399844,407,75万,101,0,10,74336人,都市言情
疯了吧！我为什么会有两个孩子！,1470281,234036,44,45.5万,70,0,10,11515人,都市言情
全球末日，我进化成了行星级巨兽,3518938,1956915,373,40.1万,459,4,10,164688人,都市言情
长白山宣传片，你拍盗笔是什么鬼？,910908,98687,115,13.7万,74,0,10,8009人,都市言情
全球杀戮：开局觉醒sss级天赋,5052553,1824626,1331,67.3万,480,2,10,130748人,玄幻奇幻
全民转职：我选择了无职散人,3143161,1342919,242,16.3万,507,1,10,90458人,都市言情
大明：刚要造反，被封一字并肩王,2650670,151102,50,320.3万,58,0,10,10948人,军事历史
让你们攻打梁山，全投降了？,1058419,222438,100,32.8万,93,0,10,14849人,军事历史
四合院：传承天师，开局坑惨贾家,670309,82369,7,500,46,0,10,4702人,同人小说
睁开眼，同桌宝藏女孩在眼前！,1665041,794929,603,100.3万,335,7,10,32268人,都市言情
全民天师：我的金光咒能无限升级,1424866,336410,89,1.6万,86,0,10,21002人,恐怖灵异
我是反派啊！你们找我谈什么恋爱？,1794556,215919,345,3.1万,59,0,10,18281人,都市言情
十绝阵被破，申公豹请我出山,1899607,205110,94,3288,73,1,10,18147人,玄幻奇幻
人人一颗星球：开局打造科技文明,2575983,703383,647,7.9万,493,2,10,49806人,玄幻奇幻
四合院：从大茂邻居开始,715343,109320,23,30.2万,48,0,10,5040人,同人小说
授徒万倍返还：为师从来不藏私,1959190,342780,216,2.3万,146,1,10,34649人,玄幻奇幻
我要做昏君！败坏国运我能成仙！,1655626,165214,74,21.8万,138,0,10,15720人,军事历史
大明：我皇孙身份被朱元璋曝光了,20327423,6585580,14441,58.4万,261,8,10,280745人,军事历史
大秦：我杀敌就可以升级成神,1959738,724690,543,52.6万,862,6,10,39636人,玄幻奇幻
大秦：从弃婴到千古一帝,3803922,966070,485,88.3万,410,0,10,50189人,军事历史
四合院：感谢不嫁之恩,1249402,248892,18,8064,219,0,10,19176人,同人小说
抗战：跟着李云龙混成将军,1239171,274442,185,8.5万,198,1,10,23051人,军事历史
三国：金榜倒数，开局被刘备赶走,1852953,181699,83,1.1万,141,0,10,15978人,军事历史
体内弹片误触警报，一身伤疤曝光,2358775,146487,223,5376,34,1,10,9021人,军事历史
大秦：公子冥王，开局镇杀荆轲,1195120,261219,68,1.3万,289,0,10,18415人,军事历史
快苟到仙王的我，被诸天视频曝光,1856252,362081,159,18.1万,286,1,10,28023人,玄幻奇幻
妖妖灵让我拍宣传片，我拍无间道,4099111,591499,295,5万,84,0,10,42782人,都市言情
权倾朝野，皇子身份假,3304634,470948,242,52.8万,201,0,10,50051人,玄幻奇幻
直播：我和周周试婚，科研家曝光,1261512,206296,30,111.5万,122,0,10,10124人,都市言情
殿下，先别打罗马，大秦快亡了！,1046859,244265,19,36.3万,35,0,10,5259人,军事历史
四合院：谁惹我，坑哭谁,3453123,1399844,407,75万,101,0,10,74336人,都市言情
疯了吧！我为什么会有两个孩子！,1470281,234036,44,45.5万,70,0,10,11515人,都市言情
全球末日，我进化成了行星级巨兽,3518938,1956915,373,40.1万,459,4,10,164688人,都市言情
长白山宣传片，你拍盗笔是什么鬼？,910908,98687,115,13.7万,74,0,10,8009人,都市言情
